School Name,,,2021 grad rate,
Aspen Valley Campus,,,0.6364,
Rampart High School,,,0.9076,
Liberty High School,,,0.9244,
Village High School,,,0.9300,
Tca College Pathways,,,0.9432,
Discovery Canyon Campus High School,,,0.9443,
Air Academy High School,,,0.9489,
Pine Creek High School,,,0.9592,
The Classical Academy High School,,,0.9840,
Home School Academy,,,-,
New America School - Thornton,,,0.1290,
Vantage Point,,,0.4667,
Pathways Future Center,,,0.6906,
Thornton High School,,,0.7598,
Northglenn High School,,,0.7962,
Mountain Range High School,,,0.8840,
Legacy High School,,,0.9380,
Horizon High School,,,0.9567,
Stargate Charter School,,,0.9735,
Westgate Community School,,,1.0000,
Prospect Ridge Academy,,,1.0000,
Lester R Arnold High School,,,0.2933,
Adams City High School,,,0.8587,
Empower Community High School,,,0.0000,
Gateway High School,,,0.6417,
Vanguard Classical School - East,,,0.6923,
Hinkley High School,,,0.6954,
Aurora Central High School,,,0.7011,
Vista Peak 9-12 Preparatory,,,0.7371,
Rangeview High School,,,0.8645,
Aurora West College Preparatory Academy,,,0.9457,
William Smith High School,,,0.9634,
Lotus School For Excellence,,,1.0000,
Options School,,,-,
Agate Junior Senior High School,,,0.7500,
Aguilar Junior-Senior High School,,,1.0000,
Akron High School,,,0.8077,
Alamosa Ombudsman School Of Excellence,,,0.0000,
Alamosa Online,,,0.4444,
Alamosa High School,,,0.7652,
San Juan Mountain School,,,0.8621,
Pagosa Springs High School,,,0.9091,
Arickaree Undivided High School,,,1.0000,
Flagler Public School,,,1.0000,
Aspen High School,,,0.9718,
Highland High School,,,0.9155,
Bayfield High School,,,0.7831,
Bennett High School,,,0.8947,
Bethune Public Schools,,,1.0000,
Simla High School,,,0.8333,
Justice High Charter School,,,0.2400,
Boulder Prep Charter High School,,,0.5000,
Arapahoe Ridge High School,,,0.6718,
Nederland Middle-Senior High School,,,0.7879,
Boulder Universal,,,0.8421,
New Vista High School,,,0.8611,
Centaurus High School,,,0.9241,
Boulder High School,,,0.9467,
Broomfield High School,,,0.9551,
Monarch High School,,,0.9568,
Fairview High School,,,0.9598,
Peak To Peak Charter School,,,0.9792,
Branson School Online,,,0.8864,
Branson School,,,1.0000,
Briggsdale Undivided High School,,,0.8750,
Brush High School,,,0.9036,
Chaffee County High School,,,0.2000,
Buena Vista High School,,,0.9688,
Merino Junior Senior High School,,,0.8824,
Burlington High School,,,0.8400,
Colorado Online High School,,,0.2250,
Astravo Online Academy High School,,,0.4895,
Colorado Virtual Academy High School,,,0.5969,
Byers Junior-Senior High School,,,0.9231,
Calhan Secondary School,,,0.9722,
Campo Undivided High School,,,1.0000,
Canon City High School,,,0.8066,
Centennial Boces High School,,,0.3151,
Innovative Connections High School,,,0.6316,
Centennial School,,,0.5833,
The Academic Recovery Center Of San Luis Valley,,,0.5000,
Center Virtual Academy,,,0.6250,
Center High School,,,0.8696,
New America School - Aurora,,,0.2222,
New Legacy Charter School,,,0.4000,
Colorado Springs Early Colleges,,,0.5255,
Colorado Early Colleges Aurora,,,0.5797,
Colorado Early College Fort Collins,,,0.6958,
Colorado Early Colleges Douglas County,,,0.6995,
Early College Of Arvada,,,0.8049,
Colorado Military Academy,,,0.8235,
Animas High School,,,0.8605,
The Pinnacle Charter School,,,0.9172,
Academy Of Charter Schools,,,0.9318,
Victory Preparatory Academy High State Charter School,,,1.0000,
Thomas Maclaren State Charter School,,,1.0000,
Launch High School,,,1.0000,
Caprock Academy,,,1.0000,
Golden View Classical Academy,,,-,
Colorado Early Colleges Windsor,,,-,
Ascent Classical Academy Douglas County,,,-,
Cheraw School,,,1.0000,
Endeavor Academy,,,0.5153,
Overland High School,,,0.8521,
Smoky Hill High School,,,0.8745,
Grandview High School,,,0.9189,
Eaglecrest High School,,,0.9373,
Cherry Creek High School,,,0.9454,
Cherry Creek Elevation,,,0.9497,
Cherokee Trail High School,,,0.9710,
Options School,,,-,
Cheyenne Wells Junior/High School,,,0.9231,
The Vanguard School (High),,,0.9130,
Cheyenne Mountain High School,,,0.9510,
Clear Creek High School,,,0.9516,
Yampah Mountain School,,,0.7000,
Colorado School For The Deaf And Blind,,,0.9444,
Eastlake High School Of Colorado Springs,,,0.2432,
Community Prep Charter School,,,0.2600,
The Bijou School,,,0.4615,
Nikola Tesla Education Opportunity Center,,,0.5538,
Mitchell High School,,,0.6306,
Odyssey Early College And Career Options,,,0.6806,
Achieve Online,,,0.7000,
Civa Charter Academy,,,0.7273,
Palmer High School,,,0.7337,
Doherty High School,,,0.8228,
Coronado High School,,,0.8333,
Cotopaxi Junior-Senior High School,,,0.8333,
Creede School,,,0.8750,
Cripple Creek-Victor Junior-Senior High School,,,0.7308,
Crowley County Junior And Senior High School,,,0.8000,
Custer County High School,,,0.9048,
De Beque Pk-12 School District 49jt,,,1.0000,
Deer Trail Junior-Senior High School,,,0.7368,
Grand Mesa Choice Academy,,,0.2857,
Delta Online Learning Academy,,,0.7273,
Delta High School,,,0.8786,
Vision Charter Academy,,,0.8800,
Cedaredge High School,,,0.8833,
North Fork High School,,,0.9432,
Paonia High School,,,1.0000,
Achieve Blended Learning Academy,,,-,
West Middle School,,,0.0000,
Strive Prep - Excel,,,0.0000,
Ridge View Academy Charter School,,,0.0000,
Florence Crittenton High School,,,0.0256,
Emily Griffith High School,,,0.0657,
