year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,highest_grade_offered,elem_cedp,middle_cedp,high_cedp,enrollment,gleaid,school_id,geo_longitude,geo_latitude,leaid,geocode_accuracy,geocode_accuracy_detailed,state_leaid,state_fips_geo,county_fips_geo,seasch,street_mailing,puma,tract,city_mailing,state_mailing,block_group,geoid_block,zip_mailing,street_location,census_region,census_division,city_location,csa,cbsa,zip_location,phone,cbsa_name,cbsa_type,fips,latitude,cbsa_city,place_fips,longitude,geoid_place,place_name,urban_centric_locale,class_code,upper_chamber,county_code,congress_district_id,state_leg_district_upper,upper_chamber_name,state_leg_district_lower,lower_chamber,lower_chamber_name,lower_chamber_type,sch_internet_fiber,sch_internet_wifi,sch_internet_schdev,sch_internet_studdev,sch_internet_wifiendev,students_chronically_absent,enrl_IB,enrl_gifted_talented,enrl_AP,enrl_AP_science,enrl_AP_math,enrl_AP_other,students_AP_exam_none,students_AP_exam_oneormore,students_AP_pass_none,students_AP_pass_oneormore,enrl_dual_enrollment,students_SAT_ACT,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,days_suspended,suspensions_instances,suspensions_instances_preschool,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,corpinstances,corpinstances_preschool,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,cohort_num,grad_rate_midpt,teachers_fte_crdc,teachers_certified_fte,teachers_uncertified_fte,teachers_first_year_fte,teachers_second_year_fte,teachers_current_sy,teachers_previous_sy,teachers_absent_fte,instructional_aides_fte,counselors_fte,support_fte,social_workers_fte,administration_fte,psychologists_fte,nurses_fte,law_enforcement_fte,security_guard_fte,law_enforcement_ind,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,lowest_grade_offered,lunch_program,teachers_fte,school_status,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,magnet,shared_time,virtual
mixed - most recent,"080258006836","27J Online Academy","CO","School District 27J","Other","Regular school","No","12","Yes","Yes","Yes","297","02580","0806836","-104.8165","39.9883","0802580","Not applicable","","CO-0040","Colorado","8001","0040-6687","18551 E. 160TH AVE","00807","8603","BRIGHTON","CO","1","080010086031","80601","89 N. 6TH AVENUE","West","Mountain","BRIGHTON","216","19740","80601","(303)655-2527","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.9883","No","8675","-104.8165","0808675","Brighton city","Suburb, large","Governmentally active (incorporated)","08025","8001","806","08025","State Senate District 25","08056","08030","State House District 30","State house district","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kindergarten","No","21","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Yes"
mixed - most recent,"080336006756","5280 High School","CO","School District No. 1 in the county of Denver and State of C","High","Regular school","Yes","12","No","No","Yes","104","03360","0806756","-105.001871","39.69639","0803360","Not applicable","","CO-0880","Colorado","8031","0880-2994","1200 W MISSISSIPPI AVE","00816","1401","DENVER","CO","1","080310014011","80223","1200 W MISSISSIPPI AVE","West","Mountain","DENVER","216","19740","80223","(720)919-1056","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.69639","Yes","20000","-105.001871","0820000","Denver city","City, large","Governmentally active (incorporated)","08032","8031","801","08032","State Senate District 32","08005","08002","State House District 2","State house district","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","","","","","","","","","","","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Yes participating without using any Provision or the CEP","6","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080615006496","70 Online","CO","Pueblo County School District 70","Other","Other/alternative school","No","12","Yes","Yes","Yes","163","06150","0806496","-104.520621","38.272265","0806150","Not applicable","Street address","CO-2700","Colorado","8101","2700-5990","301 LANE 28","00502","3001","PUEBLO","CO","1","081010030011","81001","301 LANE 28","West","Mountain","PUEBLO","444","39380","81001","(719)295-6518","Pueblo, CO","Metropolitan statistical area","Colorado","38.272265","","","-104.520621","","","Suburb, midsize","","08002","8101","803","08003","State Senate District 2","08047","08047","State House District 47","State house district","Yes","Yes","Yes","No","230","","","","","","","","","","","","","58","28","","1","","","","28","1","8","2","36.000","13.000","-2.000","0","1","0","Missing/not reported","-1.000","-1.000","0","0","1.000","","","","","","","6.000","5.280","1.000","0.000","1.000","7.000","3.000","4.000","0.500","0.000","0.200","0.000","3.000","0.200","0.200","0.000","0.000","No","252343","396427.406","382984","7951.750","8015.000","224800.000","337017.000","6","No","7","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Supplemental virtual"
mixed - most recent,"080336000305","Abraham Lincoln High School","CO","School District No. 1 in the county of Denver and State of C","High","Regular school","No","12","No","No","Yes","986","03360","0800305","-105.0265","39.6761","0803360","Not applicable","Point address","CO-0880","Colorado","8031","0880-0010","2285 SOUTH FEDERAL BOULEVARD","00816","4603","DENVER","CO","1","080310046031","80219","2285 SOUTH FEDERAL BOULEVARD","West","Mountain","DENVER","216","19740","80219","(720)423-5000","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.6761","Yes","20000","-105.0265","0820000","Denver city","City, large","Governmentally active (incorporated)","08032","8031","801","08032","State Senate District 32","08001","08001","State House District 1","State house district","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","","","","","","","","72","45","135","17","","172","272","244","77","","","191","","13","13","3","23.000","19.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","28","0.000","","","","","","","65.000","64.290","1.000","0.000","0.000","70.000","55.000","31.000","9.000","5.000","4.000","1.000","4.000","1.000","0.600","0.000","0.000","No","4108462","4854163.000","5145185","201096.000","99162.000","445443.000","837291.000","9","Yes participating without using any Provision or the CEP","65","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080408000560","Abrams Elementary School","CO","Fountain School District No. 8 in the county of El Paso an","Primary","Regular school","No","5","Yes","No","No","419","04080","0800560","-104.8012","38.7532","0804080","Not applicable","Street address","CO-1000","Colorado","8041","1000-1334","600 CHILES AVENUE","00901","4402","FORT CARSON","CO","2","080410044022","80902","600 CHILES AVENUE","West","Mountain","FORT CARSON","Not applicable","17820","80902","(719)382-1490","Colorado Springs, CO","Metropolitan statistical area","Colorado","38.7532","No","27370","-104.8012","0827370","Fort Carson CDP","Suburb, large","Installation of US Department of Defense","08012","8041","805","08012","State Senate District 12","08021","08017","State House District 17","State house district","Yes","Yes","Yes","Yes","428","","","","","","","","","","","","","0","","","","","","","","0","10","13","56.000","43.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","34.000","34.000","0.000","6.000","2.000","34.000","24.000","11.000","1.000","1.000","2.800","0.000","2.000","1.000","0.000","0.000","0.000","No","1304470","1674779.750","1092488","10036.220","169460.750","190812.000","74737.000","Kindergarten","Yes participating without using any Provision or the CEP","26","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080336001750","Academia Ana Marie Sandoval","CO","School District No. 1 in the county of Denver and State of C","Primary","Regular school","No","6","Yes","No","No","401","03360","0801750","-105.0155","39.7675","0803360","Not applicable","Point address","CO-0880","Colorado","8031","0880-6397","3655 WYANDOT STREET","00813","402","DENVER","CO","1","080310004021","80211","3655 WYANDOT STREET","West","Mountain","DENVER","216","19740","80211","(720)424-4370","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.7675","Yes","20000","-105.0155","0820000","Denver city","City, large","Governmentally active (incorporated)","08034","8031","801","08034","State Senate District 34","08004","08005","State House District 5","State house district","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","","","","","","","","","","","","","0","","","","","","","","3","0","0","0.000","0.000","0.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","20.000","19.730","1.000","0.000","0.000","24.000","19.000","7.000","8.000","0.000","1.000","0.000","1.000","0.600","0.000","0.000","0.000","No","988990","1297841.000","833178","193882.000","11503.000","103466.000","249133.000","Pre-K","Yes participating without using any Provision or the CEP","21","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080336006592","Academy 360","CO","School District No. 1 in the county of Denver and State of C","Primary","Regular school","Yes","5","Yes","No","No","210","03360","0806592","-104.850465","39.782099","0803360","Not applicable","Point address","CO-0880","Colorado","8031","0880-0099","12000 E. 47TH AVE","00812","980100","DENVER","CO","1","080319801001","80239","12000 E. 47TH AVE","West","Mountain","DENVER","216","19740","80239","(303)574-1360","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.782099","Yes","20000","-104.850465","0820000","Denver city","City, large","Governmentally active (incorporated)","08033","8031","801","08033","State Senate District 33","08007","08007","State House District 7","State house district","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","","","","","","","","","","","","","0","","","","","","","","7","1","1","2.000","3.000","0.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","13.000","7.240","6.280","0.000","0.000","13.000","4.000","0.000","5.200","0.000","0.900","0.000","5.000","0.000","0.200","0.000","0.000","No","418596","799033.000","138800","77362.000","52556.602","250517.906","122670.000","Pre-K","Yes participating without using any Provision or the CEP","13","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080345000492","Academy Charter School","CO","Douglas County School District No. Re 1","Primary","Regular school","Yes","8","Yes","Yes","No","582","03450","0800492","-104.8713","39.3838","0803450","Not applicable","Point address","CO-0900","Colorado","8035","0900-0011","1551 PRAIRIE HAWK DRIVE","00822","14406","CASTLE ROCK","CO","2","080350144062","80104","1551 PRAIRIE HAWK DRIVE","West","Mountain","CASTLE ROCK","216","19740","80104","(303)660-4881","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.3838","No","12415","-104.8713","0812415","Castle Rock town","Suburb, large","Governmentally active (incorporated)","08004","8035","804","08004","State Senate District 4","08045","08045","State House District 45","State house district","Yes","Yes","Yes","No","726","","","","","","","","","","","","","0","","","","","","","","0","0","0","0.000","0.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","36.000","32.350","4.490","0.000","0.000","51.000","40.000","1.000","12.660","0.800","5.000","0.000","5.450","0.350","0.500","0.140","0.000","Yes","2506974","3141571.750","1928572","0.000","42097.059","592500.438","1620691.000","Pre-K","Yes participating without using any Provision or the CEP","37","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080192001643","Academy Endeavour Elementary School","CO","Academy School District No. 20 in the county of El Paso an","Primary","Regular school","No","5","Yes","No","No","349","01920","0801643","-104.762134","38.951619","0801920","Not applicable","Point address","CO-1040","Colorado","8041","1040-0017","3475 HAMPTON PARK DRIVE","00904","6802","COLORADO SPRINGS","CO","1","080410068021","80920","3475 HAMPTON PARK DRIVE","West","Mountain","COLORADO SPRINGS","Not applicable","17820","80920","(719)234-5600","Colorado Springs, CO","Metropolitan statistical area","Colorado","38.951619","Yes","16000","-104.762134","0816000","Colorado Springs city","City, large","Governmentally active (incorporated)","08009","8041","805","08010","State Senate District 9","08014","08020","State House District 20","State house district","Yes","Yes","Yes","Yes","499","","","","","","","","","","","","","0","","","","","","","","0","3","0","5.000","4.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","31.000","31.700","0.000","1.000","2.000","36.000","28.000","13.000","2.660","0.800","1.800","0.400","6.710","0.300","0.250","0.000","0.180","No","1592791","2042394.125","1668366","50141.520","101551.102","297910.000","295321.000","Kindergarten","Yes participating without using any Provision or the CEP","25","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080306006456","Academy for Advanced and Creative Learning","CO","Colorado Springs School District No. 11 in the county of E","Primary","Regular school","Yes","8","Yes","Yes","No","287","03060","0806456","-104.837","38.8684","0803060","Not applicable","Point address","CO-1010","Colorado","8041","1010-0517","2510 NORTH CHESTNUT STREET","00902","1104","COLORADO SPRINGS","CO","1","080410011041","80907","2510 NORTH CHESTNUT STREET","West","Mountain","COLORADO SPRINGS","Not applicable","17820","80907","(719)434-6566","Colorado Springs, CO","Metropolitan statistical area","Colorado","38.8684","Yes","16000","-104.837","0816000","Colorado Springs city","City, large","Governmentally active (incorporated)","08012","8041","805","08009","State Senate District 12","08018","08021","State House District 21","State house district","Yes","Yes","Yes","Yes","200","","","","","","","","","","","","","0","","","","","","","","8","3","0","6.000","4.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","24.000","24.550","0.000","3.000","0.000","23.000","18.000","1.000","2.000","0.000","2.000","0.000","3.000","1.040","0.000","0.000","0.000","No","797181","1088022.750","741292","43232.551","61675.000","185933.328","62590.000","Kindergarten","Yes participating without using any Provision or the CEP","23","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080555001872","Academy High School","CO","Mapleton School District No. 1 in the county of Adams & St","High","Regular school","No","12","No","No","Yes","420","05550","0801872","-104.958167","39.85729","0805550","Not applicable","Point address","CO-0010","Colorado","8001","0010-0309","8970 YORK ST","00806","9101","THORNTON","CO","1","080010091011","80229","8970 YORK ST","West","Mountain","THORNTON","216","19740","80229","(303)853-1900","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.85729","No","77290","-104.958167","0877290","Thornton city","Suburb, large","Governmentally active (incorporated)","08024","8001","807","08025","State Senate District 24","08031","08032","State House District 32","State house district","Yes","Yes","Yes","Yes","304","","","","","","","","","","","","","97","282","111","107","","","72","123","8","22","7","117.000","51.000","-2.000","0","1","0","Missing/not reported","-1.000","-1.000","0","18","0.000","","","","","","","19.000","19.000","0.000","1.000","1.000","19.000","12.000","6.000","1.000","2.000","5.000","0.000","4.000","0.500","0.250","0.220","0.400","Yes","1047028","1610302.625","914327","32226.680","299370.156","231677.000","88048.000","9","Yes participating without using any Provision or the CEP","22","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080192001644","Academy International Elementary School","CO","Academy School District No. 20 in the county of El Paso an","Primary","Regular school","No","5","Yes","No","No","394","01920","0801644","-104.765557","38.962663","0801920","Not applicable","Point address","CO-1040","Colorado","8041","1040-0019","8550 CHARITY","00904","7000","COLORADO SPRINGS","CO","2","080410070002","80920","8550 CHARITY DRIVE","West","Mountain","COLORADO SPRINGS","Not applicable","17820","80920","(719)234-4000","Colorado Springs, CO","Metropolitan statistical area","Colorado","38.962663","Yes","16000","-104.765557","0816000","Colorado Springs city","City, large","Governmentally active (incorporated)","08009","8041","805","08009","State Senate District 9","08014","08020","State House District 20","State house district","Yes","Yes","Yes","Yes","455","","","","","","","","","","","","","0","","","","","","","","10","2","3","13.000","9.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","37.000","37.400","0.000","2.000","1.500","42.000","33.000","21.000","5.860","1.000","2.000","0.500","5.790","0.400","0.330","0.000","0.180","No","1851417","2354738.250","1855281","100575.789","125279.898","277465.375","175255.000","Pre-K","Yes participating without using any Provision or the CEP","25","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080234006736","Academy of Advanced Learning","CO","Aurora Joint District No. 28 of the counties of Adams and A","Primary","Regular school","Yes","8","Yes","Yes","No","789","02340","0806736","-104.821159","39.723447","0802340","Not applicable","","CO-0180","Colorado","8005","0180-0126","431 N SABLE BLVD","00809","81000","AURORA","CO","3","080050810003","80011","431 N SABLE BLVD","West","Mountain","AURORA","216","19740","80011","(720)500-5252","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.723447","Yes","4000","-104.821159","0804000","Aurora city","City, large","Governmentally active (incorporated)","08029","8005","806","08029","State Senate District 29","08042","08042","State House District 42","State house district","Yes","Yes","Yes","No","1020","","","","","","","","","","","","","0","","","","","","","","43","24","80","409.000","268.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","29.000","25.430","4.420","0.000","0.000","29.000","0.000","0.000","4.150","0.000","1.210","0.940","3.230","0.000","0.100","0.000","0.000","No","1453000","2040000.000","","177000.000","80000.000","330000.000","423677.000","Kindergarten","Yes participating without using any Provision or the CEP","38","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080002001998","Academy of Arts and Knowledge Elementary","CO","State Charter School Institute","Primary","Regular school","Yes","5","Yes","No","No","176","03990","0801998","-105.052538","40.519536","0800020","Not applicable","Point address","CO-8001","Colorado","8069","8001-0657","4800 WHEATON DR","00200","1010","FT COLLINS","CO","2","080690010102","80525","4800 WHEATON DR","West","Mountain","FT COLLINS","Not applicable","22660","80525","(970)226-2800","Fort Collins-Loveland, CO","Metropolitan statistical area","Colorado","40.519536","Yes","27425","-105.052538","0827425","Fort Collins city","City, midsize","Governmentally active (incorporated)","08014","8069","802","08014","State Senate District 14","08052","08052","State House District 52","State house district","No","Yes","Yes","No","200","","","","","","","","","","","","","0","","","","","","","","22","2","2","34.000","10.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","14.000","14.530","0.000","0.980","2.540","16.000","14.000","0.000","0.000","0.000","0.100","0.000","2.420","0.210","0.110","0.000","0.000","No","543967","669452.000","731406","-2.000","980.000","124505.000","602136.000","Kindergarten","Yes participating without using any Provision or the CEP","13","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No"
mixed - most recent,"080002000727","Academy of Charter Schools","CO","State Charter School Institute","Other","Regular school","Yes","12","Yes","Yes","Yes","1890","06900","0800727","-105.033546","39.911475","0800020","Not applicable","Point address","CO-8001","Colorado","8001","8001-0015","11800 LOWELL BLVD","00805","9408","WESTMINSTER","CO","1","080010094081","80031","11800 LOWELL BLVD","West","Mountain","WESTMINSTER","216","19740","80031","(303)289-8088","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.911475","No","83835","-105.033546","0883835","Westminster city","Suburb, large","Governmentally active (incorporated)","08023","8001","807","08024","State Senate District 23","08035","08034","State House District 34","State house district","Yes","Yes","Yes","Yes","2000","","","","","","","","134","64","53","27","","144","281","157","194","","","35","141","59","43","13","71.000","71.000","0.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","89.000","89.680","0.000","10.000","7.000","96.000","74.000","6.000","17.000","4.400","8.500","0.000","5.620","1.000","0.000","0.000","0.000","No","3796811","4807331.500","","201235.000","299919.000","509366.000","5428427.000","Pre-K","Yes participating without using any Provision or the CEP","92","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No"
mixed - most recent,"080525006678","Academy of Las Animas Online School","CO","Las Animas School District No. Re-1","High","Other/alternative school","No","12","No","Yes","Yes","331","06120","0806678","-104.625738","38.23479","0805250","Not applicable","Point address","CO-0290","Colorado","8101","0290-0443","2001 LAKE AVE","00502","2300","PUEBLO","CO","4","081010023004","81004","2001 LAKE AVE","West","Mountain","PUEBLO","444","39380","81004","(800)808-0718","Pueblo, CO","Metropolitan statistical area","Colorado","38.23479","Yes","62000","-104.625738","0862000","Pueblo city","City, midsize","Governmentally active (incorporated)","08003","8101","803","08003","State Senate District 3","08046","08046","State House District 46","State house district","No","No","Yes","Yes","1500","","","","","","","","","","","","","345","13","1","","","","3","26","0","0","0","0.000","0.000","-2.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","10.000","8.010","2.240","0.000","0.000","10.000","2.000","0.000","46.000","1.170","17.750","0.000","10.750","0.000","0.000","0.000","0.000","No","107488","3717283.000","","1290027.375","1238695.750","1081071.375","2555761.000","6","No","10","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","Yes"
mixed - most recent,"080555002004","Achieve Academy","CO","Mapleton School District No. 1 in the county of Adams & St","Primary","Regular school","No","8","Yes","Yes","No","384","05550","0802004","-104.961","39.8622","0805550","Not applicable","Street address","CO-0010","Colorado","8001","0010-0505","9100 POZE BLVD","00806","9101","THORNTON","CO","1","080010091011","80229","9100 POZE BLVD","West","Mountain","THORNTON","216","19740","80229","(303)853-1300","Denver-Aurora-Broomfield, CO","Metropolitan statistical area","Colorado","39.8622","No","77290","-104.961","0877290","Thornton city","Suburb, large","Governmentally active (incorporated)","08024","8001","807","08025","State Senate District 24","08031","08032","State House District 32","State house district","Yes","Yes","Yes","Yes","293","","","","","","","","","","","","","0","","","","","","","","16","29","9","94.000","56.000","0.000","0","0","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","31.000","31.150","0.000","1.000","1.000","31.000","22.000","8.000","2.000","0.000","8.940","0.000","3.000","1.000","0.250","0.040","0.000","Yes","1112344","1570903.875","1524002","43602.371","163768.125","251189.266","151861.000","Pre-K","Yes participating without using any Provision or the CEP","22","Open","","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","Yes","No","No"
mixed - most recent,"080306006428","Achieve Online","CO","Colorado Springs School District No. 11 in the county of E","High","Other/alternative school","No","12","No","Yes","Yes","354","03060","0806428","-104.78191","38.860984","0803060","Not applicable","Point address","CO-1010","Colorado","8041","1010-0269","2115 AFTON WAY","00903","600","COLORADO SPRINGS","CO","1","080410006001","80909","2115 AFTON WAY","West","Mountain","COLORADO SPRINGS","Not applicable","17820","80909","(719)328-3000","Colorado Springs, CO","Metropolitan statistical area","Colorado","38.860984","Yes","16000","-104.78191","0816000","Colorado Springs city","City, large","Governmentally active (incorporated)","08010","8041","805","08010","State Senate District 10","08016","08016","State House District 16","State house district","Yes","Yes","Yes","No","335","","","","","","","","","","","","","59","22","","50","","","14","16","2","9","1","36.000","20.000","-2.000","0","1","0","Missing/not reported","-1.000","-1.000","0","0","0.000","","","","","","","14.000","14.500","0.000","0.000","0.000","15.000","15.000","1.000","2.000","2.000","2.000","0.920","7.000","0.000","0.000","0.000","0.000","No","722444","1196361.000","1093120","30395.000","120393.000","323129.000","236293.000","6","Yes participating without using any Provision or the CEP","16","Open","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Supplemental virtual"
